# turbineX, turbineY
2.996804175872101084e+01 3.659722936989006570e+01
1.127671010266703711e+01 1.285769426009365546e+01
2.757696200889562732e+01 1.404036889084673057e+01
6.010713374048035718e+01 1.503548290972332424e+01
2.906149580212477446e+01 4.350415818817040048e+01
5.043002009114468365e+01 1.983572627915757636e+01
9.726866066490789109e+00 4.020720981008286543e+01
2.431480509626821274e+01 1.517876914042652992e+01
1.850610880693949412e+01 9.891383501442680526e+00
3.655318920787741632e+01 4.253771873237738532e+01
1.539646751147936143e+01 3.473561864533540700e+01
5.604445823660383041e+01 1.570145545687544519e+01
5.592717382865500753e+01 2.336165030372965035e+01
1.710936405481017886e+01 1.698417623576806790e+01
4.915197640971017279e+01 3.662874307491529891e+01
2.489288657806726590e+01 3.358646814687313764e+01
3.587953077699781090e+01 1.817541568273357910e+01
3.334319652541315548e+01 1.289973732338038914e+01
5.175813790540912862e+01 2.799515886761442829e+01
2.249657707185632916e+01 3.379285154158255011e+01
2.306702578529993986e+01 3.612642323934731081e+01
5.245637289271532921e+01 3.239500043840659060e+01
8.558868155654934640e+00 3.918058840793938202e+01
3.708478147078656662e+01 1.248327123942852523e+01
3.011472324798148748e+01 2.981952236835239134e+00
2.787555386875968111e+01 2.048866262721262999e+01
5.378888622584783263e+01 1.850549180409135630e+01
5.068705277432447076e+01 2.577824982287175004e+01
3.339378073214631115e+01 9.999298478410477031e+00
8.935926375926941390e+00 3.529084644741509891e+01
4.326729615079018032e+01 3.070794642704907318e+01
9.189277067421787848e+00 9.114875284283669998e+00
4.743068618773811806e+01 4.008889677928118545e+01
5.085092924586866303e+01 1.543464179949570259e+01
9.982978439737490106e+00 1.262710014015223337e+01
4.170999330041045283e+01 1.952792545559101001e+01
2.201628523961370476e+01 3.985130552818226590e+01
1.450228358669630246e+01 3.358032415637914880e+01
1.173508920249154031e+01 2.704032368955004628e+01
5.799185615388571335e+01 1.056315324642307374e+01
2.679681438927516268e+01 4.377013695052839637e+01
3.348778974505354711e+01 4.191972122877482576e+01
4.335660940357471560e+01 2.866256873840669073e+01
4.238122412694254848e+01 4.554169852372386806e+00
2.996110545312509998e+01 2.682290715761815392e+01
5.373317510776386641e+00 3.245261381955323543e+01
4.301080327287132832e+01 1.744298367133609418e+01
1.011214839752804018e+01 2.047216811518032031e+01
5.740770724369186695e+01 2.268056174641295186e+01
4.698869122315682745e+01 1.778900587171755632e+01
3.136897071282169946e+01 1.318902906430560940e+01
1.824104859135861290e+00 2.712085171782586102e+01
3.108727765872938420e+01 4.098109974554360235e+01
7.355919287059949241e+00 2.482013637567120767e+01
1.144400481511896928e+01 2.119243429086107255e+01
5.474717072142166074e+01 2.458760858783846714e+01
5.008374143527579037e+01 1.686964682146834038e+00
4.700375515096157919e+00 2.774900010554666707e+01
5.188553245931188940e+01 2.167397458733764637e+01
3.420143456471972598e+01 2.759620537115871386e+01
