# turbineX, turbineY
7.552275632454761300e+00 9.822470689212426720e+00
1.367965859141642682e+01 5.010123221415728523e+00
1.278002913851746847e+01 1.534401749989292441e+01
4.741535598280743891e+00 1.433743756577034745e+01
9.939370954653323764e+00 1.220189833828202097e+01
1.967722362949358539e+00 8.284140030284230960e+00
1.313270134040176984e+01 9.142371876747116488e+00
1.389617078076898693e+01 1.111002454601297273e+01
7.319451844094720272e+00 2.837499962201959214e+00
3.430864942788600658e+00 3.516699746195792731e+00
1.243002102564974187e+01 2.402207237854205868e+00
1.446664238282010828e+01 7.411554843213322030e+00
7.906845218459517710e+00 1.899844434335460353e+00
6.334285006769996507e+00 4.135277136909687457e+00
7.595554821552308766e+00 1.426159505687537887e+01
5.627989317537065439e+00 1.097952688412502198e+01
