# turbineX, turbineY
5.000000000000000000e-01 5.000000000000000000e-01
5.500000000000000000e+00 5.000000000000000000e-01
1.050000000000000000e+01 5.000000000000000000e-01
1.550000000000000000e+01 5.000000000000000000e-01
2.049999999999999645e+01 5.000000000000000000e-01
5.000000000000000000e-01 5.500000000000000000e+00
5.500000000000000000e+00 5.500000000000000000e+00
1.050000000000000000e+01 5.500000000000000000e+00
1.550000000000000000e+01 5.500000000000000000e+00
2.049999999999999645e+01 5.500000000000000000e+00
5.000000000000000000e-01 1.050000000000000000e+01
5.500000000000000000e+00 1.050000000000000000e+01
1.050000000000000000e+01 1.050000000000000000e+01
1.550000000000000000e+01 1.050000000000000000e+01
2.049999999999999645e+01 1.050000000000000000e+01
5.000000000000000000e-01 1.550000000000000000e+01
5.500000000000000000e+00 1.550000000000000000e+01
1.050000000000000000e+01 1.550000000000000000e+01
1.550000000000000000e+01 1.550000000000000000e+01
2.049999999999999645e+01 1.550000000000000000e+01
5.000000000000000000e-01 2.049999999999999645e+01
5.500000000000000000e+00 2.049999999999999645e+01
1.050000000000000000e+01 2.049999999999999645e+01
1.550000000000000000e+01 2.049999999999999645e+01
2.049999999999999645e+01 2.049999999999999645e+01
