# turbineX, turbineY
6.041061175108191961e+00 5.468812195890594197e+00
1.633557015020558367e+01 3.325808726929087911e+00
3.127553967882930053e+00 2.419865094283219520e+01
9.216938889653047084e+00 8.309653322800089725e+00
1.885603039073420106e+01 3.036027137688380506e+00
1.939065591455526771e+01 7.547017647510505078e+00
2.510421150518541111e+01 8.057871268108792506e+00
1.741955640528583871e+01 9.672657333504250943e-01
8.880891104294446947e+00 1.315581628165722350e+01
2.157954575143627451e+01 5.425349023561178541e+00
1.297168081054090116e+01 2.819163898326872086e+01
8.954904851805880028e+00 1.757035005243053405e+01
4.980635875995144346e+00 2.305960194556853793e+01
6.092431019124594727e+00 2.699743515375098113e+01
1.057122035700151130e+01 1.217389611721324272e+01
1.468365235773389799e+01 2.407993206868881941e+01
4.096118164135479134e+00 1.874559904042826730e+01
2.965850753112991356e+01 2.039655409291601273e+01
2.430148902192062010e+01 1.283588011396884099e+01
2.186835367097332039e+01 2.788220944863911654e+01
2.088706694625296123e+00 9.098577328582072354e+00
2.046722681547534961e+01 1.312134978085815007e+01
1.336071898573535854e+01 1.479693301267394290e+01
2.119616819468396329e+01 1.856471987495029552e+01
2.436602524400703373e+01 1.435957822927413652e+01
2.572947234296682950e+01 1.087539781697896046e+01
2.556848318465092262e+01 1.609266144042467772e+01
2.249930380291932863e+01 1.064765768931876622e+01
1.384093980172931815e+01 2.953367295585324825e+01
1.340454021524956296e+01 1.358037383275543952e+01
7.324948159248342527e+00 8.649798518730051455e+00
8.203608540814080641e+00 2.509961455495154681e+01
1.624080835297549541e+01 1.645534949244946432e+01
1.962081047915163268e+01 1.917878224565523837e+01
6.753515910665585764e+00 4.256182662591807997e+00
1.836372215389139484e+01 1.113002315545559284e+01
1.405277756136606193e+01 1.671721400624561582e+01
1.083136573769710864e+01 1.114544626375764835e+01
