# turbineX, turbineY
2.108440984411562269e+01 1.715218693447111420e+01
1.252907654624416089e+01 1.260121312704800900e+01
2.666214167515560618e+01 2.455324546308959555e+01
3.058924443456238151e+01 4.672919500288658412e+01
4.694358211174801454e+01 3.763390844754751896e+01
4.782011253938848228e+01 4.506349246736369163e-01
4.023841586743976961e+01 9.428382508337245227e+00
6.375175873519746128e-01 1.418380516743115649e+01
2.936282525612784156e+01 2.659702196274827912e+01
1.364105062131762836e+01 3.074487160209979564e+01
2.097616571553760423e+01 3.392491448799287213e+01
3.539542274059810723e+01 2.976569320638749971e+01
3.045587566936412571e+01 3.694270321437645777e+01
3.043329847910695207e+01 3.133677539225403663e+01
4.693633521277952525e+01 2.975467898611393025e+01
5.200585365548225525e+01 1.079504190419894982e+01
6.076797972673227299e+00 9.382386175502732684e+00
1.983178425542088874e+01 1.211449145429717511e+01
6.010497429650934009e+01 1.742921150265460639e+01
2.194046964277672096e+00 2.414079798856577952e+01
3.631217287209534561e+01 2.793279919973751291e+01
2.519380955065658867e+01 8.640731818916052021e+00
1.268935868971064096e+01 3.881698946587483334e+01
2.315980946691527720e+01 1.030582265131405784e+01
1.477937699614583700e+01 1.005765564186338779e+01
3.319812152060053734e+01 2.856948927350196143e+01
2.703731594372752767e+01 6.776828246148530077e+00
2.964422337389828499e+01 1.825387983831374683e+01
3.253076174886119531e+01 1.114803908803488675e+01
4.906804690039274419e+01 3.399380282135346221e+01
9.934706504675730798e+00 2.915144267496965114e+01
5.335257346164365799e+01 3.244411416188334130e+01
4.811534652231491549e+01 3.980363303216891069e+01
2.289031111745958214e+01 2.576314109333331359e+01
4.001051787050706565e+01 2.973101905042236837e+01
5.820556875748718539e+01 1.419666641423521902e+01
2.872047721369421680e+01 3.131122291009944103e+00
2.006629214462575916e+01 1.777331437759439581e+01
1.289575723161183340e+01 4.102162146475566828e+01
1.552713906989208326e+01 1.679982980195583053e+01
5.391443438358945883e+01 9.647485787839020333e+00
1.242150931504947842e+01 3.475893579844351677e+01
4.476958255841658740e+01 1.323174402403292049e+01
3.509142719795835319e+01 2.492771195638207260e+01
4.457987292158978221e+01 2.431381990915864577e+01
4.665367151157420267e+01 2.589681980676605377e+01
2.303093611585063627e+01 2.817664615630626912e+01
1.660636414177794862e+01 3.985224433623706375e+01
3.465453024729467302e+01 3.637377135787224347e+01
5.962978488648292341e+01 1.586693667098409399e+01
4.957218885248988727e+01 3.408110398946562647e+00
1.176244746249182249e+01 3.300767333345964971e+01
1.872110464569738397e+01 1.096491940615799976e+01
7.077896662593692767e+00 2.483632108484892598e+01
2.802823293325601384e+01 2.633949356514174411e+01
2.067350050029561714e+01 1.620124176558534401e+01
3.631467424075099615e+01 3.358740413116772316e+01
4.136697393826736402e+00 1.887635624200111906e+01
3.717069226331236820e+01 1.602256686952139120e+01
1.724746637043777042e+01 2.099809322453936034e+01
