# turbineX, turbineY
7.714822816783171611e+00 3.180334846224488921e+00
2.008040652287435002e+00 9.041752231091145120e+00
1.197527626349799057e+01 9.927780817271761649e+00
7.305603830153857281e-01 2.301018635248199384e+00
1.061770017690122359e+01 1.534137430834916849e+01
1.449742877592561641e+01 1.245208407626111047e+01
8.705992545263212534e+00 9.595063755517342363e-01
7.122517867749651899e+00 5.388956097052818528e+00
6.706700895961891895e+00 3.611211085627326067e+00
1.098678232458210857e+01 5.309433965111684195e+00
1.363663423681493114e+01 6.951105401694079866e+00
1.069900996748328836e+00 1.056907329056416378e+00
2.184978458141026092e+00 6.674893425627642429e+00
6.643232656922550383e+00 1.089309566434405419e+01
3.373878066021112510e+00 6.658225733523019940e+00
1.142622891730576562e+01 1.283618036550019603e+01
