# turbineX, turbineY
1.985128742192087259e+01 1.309811409657531733e+01
1.232074104326684960e+01 2.235028564475858559e+01
7.724614124082478384e-01 1.806635999071170673e+01
2.578461986038472986e+01 1.562441555452979181e+01
2.224472481232465526e+01 1.793148442705249579e+01
2.610579369878566069e+01 9.141501717716325359e+00
1.833631597484886910e+01 9.240738704752432753e+00
2.917606937367168030e+00 2.200185236020674040e+01
1.828136227961763183e+01 6.765289317462674035e+00
1.871420117925718785e+01 1.876192100552174580e+01
1.829192775444671781e+01 1.497362806638134458e+01
2.564231384840433137e+01 1.344710793452561326e+01
1.801810988133071945e+01 4.132941704225952861e+00
7.323643547192630443e+00 6.273002391329416838e+00
1.759952840272269370e+01 2.368113613163235698e+01
1.197432675415537418e+01 4.007065403245830382e+00
9.145579747466822340e+00 8.909862939604769494e+00
8.738732612103959241e+00 1.348064326723576478e+01
1.222462614847030693e+01 2.062654370571025453e+01
1.142952326023123533e+01 5.084903955158223354e+00
8.276679879981635679e+00 2.290805314839531093e+01
1.510891455868602407e+01 2.906651624752332808e+01
2.164205575729452136e+01 2.596279762872940466e+01
6.875933475929494776e+00 9.018237180404064190e+00
1.636935394454332737e+01 2.915001388458420095e+01
3.550712345031685757e+00 1.784078243996080815e+01
1.574134203654783271e+01 1.964612657412580887e+01
2.356952549996672275e+01 3.782963617598612771e+00
1.913615451583635618e+01 1.668734008856938189e+01
1.445255485721760458e+01 1.406792369121830433e+01
6.135544173777978116e+00 1.237859768143356476e+01
2.170916245084056939e+01 4.739581422049006676e+00
2.337103089256357791e+00 2.098188940444291362e+01
2.001034904109282309e+01 1.184995539409895038e+01
1.550004255811162857e+01 1.524001708191174842e+01
8.624736843072485115e+00 1.567217527977862801e+01
1.688569106846003720e+01 2.584802032910280190e+01
2.177437549133267680e+01 9.472029876788770508e+00
