# turbineX, turbineY
2.139963627969527593e+01 4.094760531959077809e+01
6.622846894964609987e+00 1.060869338338601864e+01
5.652841626952080389e+01 1.838817449293079420e+01
5.052106266383442801e+01 2.185678675364552248e+01
2.426037284217208523e+01 4.819182649913696714e+00
1.434337031175074628e+01 2.398667361663843067e+01
4.957371794927449571e+01 1.472905346371005031e+01
4.458176662832531179e+01 2.872142771245447790e+01
5.655860952272113273e+00 2.964585806395992407e+01
4.878756632535792903e+01 3.573135041531668321e+01
2.402163495251444303e+01 4.292931864715002632e+01
5.964506296342293723e+01 1.799844723919472855e+01
3.087528530421844408e+01 4.186060889497272086e+01
3.894659090391563439e+01 1.839033103506575229e+00
2.264915390574924814e+01 3.666917041486753703e+01
2.518886824202939323e+01 4.550680381819124420e+01
4.324857323551012911e+01 3.606113016921845116e+01
4.517914471130836063e+01 1.446516051079097487e+01
1.115663620328796846e+01 3.124442181459618340e+01
2.681221377404857620e+01 3.143223340319241998e+01
3.240897504502627413e+01 4.723779379358655461e+01
5.347174591040133151e+01 1.870567590812391501e+01
1.295868360061383484e+01 2.198307348235334757e+01
2.191224677489489636e+01 3.947538533922707593e+00
1.354775258077136790e+01 3.034558218761128501e+01
1.895336072097843072e+01 2.468487419063724886e+01
1.233545672533360360e+01 2.748687188127998482e+01
1.368691627019696000e+01 4.170487587786416128e+01
2.317052731655923736e+01 7.043370468339953838e+00
3.519009198269538530e+01 1.242571239358105828e+01
6.715458742218785915e+00 1.231629900738239591e+01
1.043985229483304522e+00 1.951353912551028813e+01
8.561111515398144078e+00 2.648676277284811675e+01
4.273591249490123545e+01 4.360281020373508909e+01
3.710711043613977722e+01 2.096760045738982470e+01
5.497210527400049784e+01 1.904378385687879671e+01
4.013501888333175316e+01 2.295002976715502996e+01
5.675553926846888686e+01 2.703736904678003228e+01
2.377084307151901044e+01 3.265699568153211718e+00
2.840207279448996047e+01 2.050363393500189257e+00
3.830960435475643067e+01 1.511419278522694221e+01
7.969255368614630797e+00 1.437111970255722682e+01
9.822384881724470773e+00 1.343028914076868219e+01
2.345021600671960726e+01 3.119416084410011791e+01
2.808311542257933979e+01 3.717604209512774815e+01
5.472441429165805715e+01 9.316660104543625920e+00
4.348881647959103702e+01 4.562026474305370982e+01
1.266672426882647606e+01 3.767414918931909540e+01
1.090047953132963521e+01 2.330416011212635397e+01
1.821943468301203950e+01 4.875774064315542944e+00
5.656774388420760857e+01 2.367718993372598746e+01
4.101416518208963424e+01 4.463203388478284239e+01
2.591609473777013228e+00 2.416943530963935061e+01
5.502748007464133195e+01 1.747588242033581096e+01
1.014611929844894611e+01 1.134422649383998838e+01
8.161763562323498533e-01 1.679650269476622171e+01
4.233757787910194281e+01 2.404383930248427959e+01
7.286527662476473211e+00 2.802898641330201102e+01
4.033746073816442390e+01 1.680271637007757946e+01
1.589290766798059451e+01 2.859551589487504586e+01
