# turbineX, turbineY
3.734166863911412548e+01 3.037043021582844204e+01
2.474695202006323669e+01 3.710031594124110654e+01
4.366857210877864048e+01 3.830297977819226674e+01
1.737033527307319858e+01 3.780294367864435401e+01
5.377120709218176842e+01 5.513379792055223660e+00
5.015229715748337469e+01 3.170051928610809977e+00
4.870683649918861846e+01 1.729054415885079621e+01
7.841278912220908115e-01 2.698691297073943929e+01
3.884910906419398913e+01 3.805928385589986362e+01
4.333812222427108196e+01 2.940753016730598546e+01
5.625552677963179704e+00 1.396264586656588946e+01
4.004968908235575498e+01 3.185253674281539205e+01
3.231391459175309677e+01 4.347670156679118492e+01
3.735704804719917149e+01 4.288289321323494363e+01
1.177902992691906192e+01 3.527812898745136039e+01
4.200981675920154146e+01 2.374863152391193388e+00
2.648552552266204430e+01 9.922111537780647694e+00
2.198680800471822394e+01 5.396962713318452565e+00
3.958339793571017395e+01 3.463995210520069890e+01
3.631051141154642892e+00 2.830075068100550695e+01
4.661062620308546656e+01 8.568381685074820453e+00
7.191133335360331280e+00 2.638445510789812332e+01
4.724394302967397152e+01 1.574288736662705901e+01
4.767631487048185335e+01 3.309914920090129442e+01
5.022978226404367774e+01 9.752332337294374653e+00
1.236875366299561207e+01 3.386735894590928808e+01
4.403617199152042083e+00 2.375553662937059229e+01
7.463680134897924923e+00 3.122908400074248902e+01
2.504521595544193246e+01 9.481621898645199664e+00
1.486868973374349778e+01 3.839432050503922511e+01
5.435024850703580768e+00 3.556345650752214738e+01
1.973480155632191479e+00 2.384309753874581617e+01
4.859737505077428210e+01 9.139855547569130323e+00
1.335506189371877994e+01 1.162033377581769500e+01
4.850551752819656315e+01 2.188704401809801325e+01
3.017742948868525588e+01 3.261773808356231541e+01
1.467189964846665262e+01 3.946429569109974977e+01
5.138495425772829606e+01 2.778675369413212692e+00
3.745542777633568932e+01 4.563435204386888699e+01
1.793916844585422510e+01 2.848214303531216274e+01
2.703901851892782560e+01 4.489029665807909453e+01
4.244884314878408560e+01 7.189484566098792939e+00
5.540499500078840356e+01 2.519926154614394775e+01
5.871966059558950235e+01 1.343094231211765432e+01
6.375189875166535458e+00 3.705123322922476348e+01
3.200403617857982397e+01 1.008153378182592341e+01
2.052299251006022374e+01 4.595959262815394197e+01
2.769460597498204990e+01 1.302663057085139009e+01
6.663727464379296528e+00 2.305072692652798594e+01
3.738715021846656583e+01 2.856120599433590357e+01
2.932320645749883425e+01 1.372678338515422869e+00
3.135010762421514841e+01 2.418569215361912939e+01
2.492226916140195669e+01 3.531807697062374274e+01
2.716410650207401289e+01 4.592071911358802794e+01
4.696335013772267075e+01 3.519058372150028191e+01
4.844568627737920963e+01 1.036555790467346583e+01
3.174201661373873407e+01 2.472680384751469340e+00
3.027795071463057042e+01 2.664096786004012074e+01
1.942617395790533052e+01 3.580702788239413081e+01
4.107374911071228496e+01 2.297045592356722565e+01
