# turbineX, turbineY
1.294558380255484131e+01 2.613174067090934916e+00
5.195989295506260319e-01 7.884610395167600316e+00
7.881385530892635494e+00 9.022069506623470403e+00
5.899827848170146716e+00 6.156937187312950144e+00
4.692302978836827343e+00 1.569334239869933478e+00
7.268036992555552800e+00 1.213079892085233702e+00
7.545623942765811165e+00 2.342367845733207332e+00
2.874525623080893766e+00 1.147978388401951122e+01
1.175607679465891842e+01 7.189630286093534828e+00
1.275313560131215596e+01 6.184747393050542108e+00
4.463697873301802233e+00 8.925303678936716167e+00
1.269033158723133603e+01 4.565817933859772637e+00
2.730237219435077911e+00 4.279495072670019162e+00
1.056897450216593448e+01 1.359853868075076733e+01
9.296314752385310243e+00 1.124571520967520932e+01
5.044675023857330132e+00 1.236006708725153480e+01
