# turbineX, turbineY
2.022202024573095258e+01 2.693925333826686597e+01
1.465570910531235072e+01 2.344046708408681567e+01
2.488527693477104918e+01 3.700633339336530270e+00
6.314795384011368640e+00 2.456306333858273661e+01
2.693076939723212959e+01 1.048986591690984049e+01
1.695051913138750521e+01 2.569080508167311194e+01
1.990564716703643455e+01 1.356830590774056766e+01
1.126287273244738785e+01 1.453990767036057008e+00
3.174133260776528687e+00 6.191078907834771883e+00
5.179365801545326775e+00 2.036466986124051104e+01
1.846391769032003793e+01 5.731950753013382638e+00
4.937993462271696998e+00 8.235010477371135451e+00
1.764338133046706858e+01 2.017839502176721922e+00
2.137867991567584625e+01 1.247205249030795926e+01
2.565655330556642610e+01 6.285029992554955314e+00
1.983582086848369386e+01 2.042135145185962486e+01
2.276550138106702903e+01 7.867971329318364404e+00
2.089743850729514918e+01 2.219826482011708890e+01
2.719722130756656497e+01 2.113127914102515703e+01
1.033842004017897764e+01 2.595413538210761928e+00
2.307470394013853010e+01 9.353312084972891682e+00
8.703259432527310935e+00 2.872232844103169924e+01
2.419890790900734601e+01 1.665657564373499966e+01
6.395895928896365490e+00 2.756202282964768813e+01
2.153951403615750593e+01 2.472551800529123156e+01
2.934535140257983699e+01 1.595697809106741261e+01
7.091322409981964725e+00 1.996533561844896099e+01
1.741621535490167361e+01 8.524468481211837201e+00
1.338611859252942793e+00 1.402867352745716722e+01
1.993040669909199281e+01 1.851303986520455425e+01
1.874319754519346404e+01 1.391280829472366776e+01
1.316922462960815743e+01 6.975728121259038517e+00
7.938149663259073563e+00 5.098656225381034801e+00
4.470236336066403027e+00 2.441728445538326753e+01
1.609043742769788210e+01 6.057120679757487025e+00
5.983534940311034944e-01 1.110357041652371635e+01
2.985041535526585577e+00 7.261292484365737820e+00
2.836529923777261430e+01 1.550330833942950193e+01
